ICO,AR7,AR30,AR180,ICO,Token,Softcap,Hardcap,Start,End,Quarterstart,Duration of offering,Country,Category,ERC20,Rating,Number of experts,Bonus,Policy,Number of team members,Distributed in ICO,US restriction,Restricted countries,Accepted fiat,Major cryptocurrencies,Presale,Amount raised
0x,43.50753838,21.15710199,115.6114878,0x,ZRX,,,8/11/2017,8/15/2017,2017q3,5,USA,"Platform,Internet,Cryptocurrency",1,3.1,3,0,0,6,0.5,,,0,1,0,24000000
holo,1.078509105,0.530763453,0.814773902,holo,HOT Token,1239600,20390000,3/29/2018,4/28/2018,2018q1,30,Gibraltar,"Communication,Infrastructure,Internet,Platform",1,4.5,3,0,kyc&whitelist,10,0.75,1," USA, South Korea, China",0,1,0,8120000
centrality,-0.229010658,-0.039768733,-0.528470102,centrality,CENNZ,,100000000,1/15/2018,2/15/2018,2018q1,31,New Zealand,Platform,1,2.8,0,0,0,50,0.7,,,0,1,0,88524000
bittorrent,0.984931549,0.533869584,-1.058018025,bittorrent,BTT,20000,7200000,1/28/2019,1/28/2019,2019q1,1,USA,Platform,0,3.9,2,0,0,20,0.0997,1, USA,0,1,1,7128000
enjin-coin,-0.082101548,-0.369840525,6.361897982,enjin-coin,ENJ,17547600,25000000,10/3/2017,10/31/2017,2017q4,28,Singapore,Entertainment,1,4.2,8,1,0,8,0.8,1, USA,0,1,0,23000000
matic-network,-0.197050472,3.338510919,1.701568906,matic-network,MATIC,,5000000,4/24/2019,4/26/2019,2019q2,3,India,Other,1,3.8,6,0,kyc&whitelist,3,0.19,,,0,1,0,5000000
decentraland,-0.32636668,-1.030286768,1.137484136,decentraland,MANA,,20000000,8/8/2017,8/8/2017,2017q3,1,Argentina,Entertainment,1,3.6,2,0,0,12,0.4,0,,0,1,0,24000000
ripio-credit-network,-0.332870814,0.15419276,0.445194924,ripio-credit-network,RCN,,37000000,10/24/2017,11/5/2017,2017q4,13,Cayman Islands,"Banking,Platform",1,2.6,0,0,0,12,0.51,,,0,0,0,37000000
bread,-0.177279804,-0.310039226,-0.327724889,bread,BRD,,20000000,12/16/2017,12/24/2017,2017q4,9,Switzerland,"Cryptocurrency,Platform,Banking,Software",1,3.4,8,0,0,6,0.6625,,,0,1,0,32000000
funfair,0.772929707,-0.139200287,-0.618645648,funfair,FUN,,20000000,6/22/2017,6/22/2017,2017q2,1,UK,Casino&Gambling,1,3.6,5,0,0,21,0.332243688,,,0,1,0,26000000
harmony,0.139848696,-0.447908525,-0.580210119,harmony,ONE,,23000000,5/28/2019,5/29/2019,2019q2,2,USA,Platform,0,3.1,1,0,0,18,0.249,,,0,0,0,23000000
tierion,-0.353248589,-0.539944742,-1.744129684,tierion,TNT,,24850000,7/27/2017,7/28/2017,2017q3,2,USA,"Platform,Internet",1,2.8,0,0,0,4,0.35,,,0,0,0,25000000
power-ledger,2.192271324,10.32843575,8.927186639,power-ledger,POWR,,,9/8/2017,10/6/2017,2017q3,28,Australia,Energy,1,3.3,1,1,0,17,0.35,,,0,1,0,26356589
robotina,0.483678201,1.410639707,2.768988166,robotina,ROX/ROX,10000000,28500000,3/21/2018,4/30/2018,2018q1,40,Slovenia,"ArtificialIntelligence,Energy,Infrastructure",1,3.7,7,1,kyc,16,0.7,1, USA (only accredited investors can participate),0,1,1,10000000
celer-network,-0.233095359,-0.67212863,-2.229886461,celer-network,CELR,,,3/19/2019,3/24/2019,2019q1,6,Singapore,Platform,1,3.9,5,0,0,11,0.3,,,0,1,0,3880597
glitzkoin,-0.311546505,-0.696709875,-1.038739185,glitzkoin,GTN,10000000,40000000,3/16/2018,6/25/2018,2018q1,101,Estonia,"Businessservices,Cryptocurrency,Platform",0,3.8,0,1,kyc&whitelist,6,0.25,,,0,1,0,18000000
1irstcoin,1.159954237,2.176972121,1.682746987,1irstcoin,FST,517155.5,5823170.93,7/22/2019,8/11/2019,2019q3,21,Georgia,"Cryptocurrency,Businessservices,Legal,Platform",1,3,1,1,kyc,3,0.1,,,0,1,0,7500000
botxcoin,-0.042309634,-0.25875453,-0.370622461,botxcoin,BOTX,600000000,2000000000,12/10/2018,1/28/2019,2018q4,49,Singapore,Cryptocurrency,1,3.9,0,0,0,4,0.4,,,0,1,0,1250000
karatgold-coin,0.121922921,0.127641114,0.166711465,karatgold-coin,KBC,,72000000,2/15/2018,4/15/2018,2018q1,59,Germany,"Banking,Cryptocurrency,Investment",1,4.6,6,1,kyc,5,0.6,0, None,1,1,1,100000000
latoken,-0.438211387,-0.700349828,-0.86762391,latoken,LA,,53722800,8/22/2017,10/10/2017,2017q3,49,Singapore,"Investment,Realestate,Platform,Cryptocurrency",1,3.4,17,1,0,26,0.45,,,0,1,0,20000000
envion,-0.15688808,-0.162535015,-0.470345476,envion,EVN,,,12/15/2017,1/14/2018,2017q4,30,Switzerland,,1,2.8,9,1,0,8,0.85,,,1,1,0,100012279
dentacoin,-0.76258498,-0.737342906,-0.158480629,dentacoin,DCN,,28135200,10/1/2017,11/1/2017,2017q4,31,Netherlands,Health,1,3.1,2,0,0,18,0.03,,,0,1,0,2100000
b2bx,-0.850031454,-1.847055094,-0.880602134,b2bx,B2B,,29500000,10/2/2017,11/17/2017,2017q4,46,Russia,"Platform,Businessservices",0,4.1,11,0,0,24,0.8,,,0,1,0,8094402
cindicator,-0.207069624,-0.32652855,1.650003111,cindicator,CND,,15000000,9/12/2017,10/12/2017,2017q3,30,Russia,"Cryptocurrency,Investment",1,3.5,6,0,0,12,1,1," USA, Singapore, China",0,1,0,15000000
babb,-0.144136118,-0.1478696,0.116736025,babb,BAX,,,2/6/2018,3/6/2018,2018q1,28,UK,"Banking,Platform",0,3.9,9,1,kyc&whitelist,13,0.6,,,0,1,0,20000000
btu-protocol,-0.492626435,-0.54374237,-2.017014776,btu-protocol,BTU,,25000000,6/7/2018,6/30/2018,2018q2,23,France,"Businessservices,Infrastructure,Software",1,4,6,0,kyc,5,0.5,1," USA, China",1,1,0,5500000
bnktothefuture,0.035854736,1.533497725,-0.12647205,bnktothefuture,BFT Token,,33000000,9/6/2017,12/31/2017,2017q3,116,Cayman Islands,Platform,1,3.2,0,0,0,8,0.33,,,0,1,0,33000000
singularitynet,-0.526485077,-0.688723266,-0.515578855,singularitynet,AGI,,,12/19/2017,12/19/2017,2017q4,1,Switzerland,"Platform,Cryptocurrency,Software,Internet,Infrastructure",1,4,9,0,kyc&whitelist,10,0.5,,,0,1,0,36000000
gowithmi,-0.13096233,-0.035077654,,gowithmi,GMAT,,,5/18/2019,5/18/2019,2019q2,1,Singapore,Infrastructure,1,2.9,0,0,0,9,0.2,1, USA,0,0,0,28743947
dragonchain,0.519689606,6.447109622,1.575205413,dragonchain,DRGN,,238421940,10/2/2017,11/2/2017,2017q4,31,USA,"Platform,Businessservices",1,2.4,0,0,0,8,0.55,,,0,1,0,13700000
levolution,-0.022625695,-0.198816109,-0.252908342,levolution,LEVL,1951180,64807050,3/18/2019,4/1/2019,2019q1,15,Cayman Islands,Businessservices,0,4.1,2,0,kyc&whitelist,8,0.45,1, USA,1,1,0,1883840
the-force-protocol,-0.243533518,-0.115112276,-0.411372473,the-force-protocol,FOR,,1000000,4/22/2019,4/22/2019,2019q2,1,China,"Cryptocurrency,Platform",1,2.8,0,0,kyc&whitelist,10,0.275,,,0,1,0,1000000
carry,-0.517874157,-0.556110373,-1.089710675,carry,CRE,6880000,12934400,8/26/2018,9/9/2018,2018q3,15,South Korea,"Other,Retail",1,2.8,0,1,0,13,0.4,,,0,1,1,13428840
gifto,-0.032569208,0.357570761,0.007040387,gifto,GTO,,30000000,12/14/2017,12/14/2017,2017q4,1,Hong Kong,"Entertainment,Infrastructure,Media",1,4.2,18,0,0,5,0.3,1," USA, China, New Zealand, Singapore",0,1,0,30000000
lockchain,-0.006722106,1.628082411,0.561373569,lockchain,LOC,6101800,9762880,10/29/2017,12/1/2017,2017q4,33,Bulgaria,Tourism,0,3.4,0,0,0,20,0.5,,,0,1,0,4000000
quarkchain,-0.398315509,-0.615545253,-0.332384793,quarkchain,QKC,,20000000,6/2/2018,6/3/2018,2018q2,2,USA,Infrastructure,1,4.5,8,1,0,9,0.2,,,0,1,1,20000000
foam,-0.528927648,-0.874584409,-1.7536133,foam,FOAM,,24000000,7/31/2018,8/10/2018,2018q3,11,USA,"Cryptocurrency,Electronics,Infrastructure,Platform,Realestate,SmartContract",1,3.7,4,0,kyc,14,0.3,,,0,1,0,13750000
perlin,-0.159057104,-0.520836934,,perlin,PERL,,52950000,8/24/2019,8/25/2019,2019q3,2,Singapore,"Banking,ArtificialIntelligence,BigData,Businessservices,Charity,Communication,Cryptocurrency,Energy,Entertainment,Health,Infrastructure,Internet",1,3.5,4,0,kyc,10,0.5623,1," Albania, Bosnia & Herzegovina, Belarus, Democratic Republic of Congo,Cuba, C??te d'Ivoire, Iraq, Iran, North Korea, Liberia, Macedonia, Myanmar, Serbia, Sudan, Syria, United States of America, and its territories (American Samoa, Guam, the Northern Mariana Islands, Puerto Rico, and the U.S. Virgin Islands), Zimbabwe",0,0,1,52950000
quantstamp,0.416286851,-0.188132881,1.097024806,quantstamp,QSP,,30000000,11/16/2017,11/18/2017,2017q4,3,USA,"Businessservices,Platform",1,3.5,4,0,0,10,0.65,,,0,1,0,30000000
daostack,-0.323043214,-0.552295876,-0.568818587,daostack,GEN,5000000,30000000,5/8/2018,5/8/2018,2018q2,1,Gibraltar,Infrastructure,1,3.7,7,0,0,9,0.6667,,,0,1,0,8000000
fusion,-0.061003159,-0.152125237,-0.370417388,fusion,FSN,,42190000,2/1/2018,2/10/2018,2018q1,10,Singapore,Banking,1,3.3,0,0,0,10,0.35,,,0,1,0,42200000
bqt,0.174434173,0.092277496,-1.34946236,bqt,BQTX,2000000,50000000,9/18/2018,3/18/2019,2018q3,181,UK,"Banking,BigData,Businessservices,Communication,Cryptocurrency,Infrastructure,Internet,Investment,Platform,SmartContract,Software",1,4,10,1,kyc&whitelist,19,0.25,,,0,1,0,37000000
time-new-bank,-0.115020363,1.039310187,0.122036728,time-new-bank,TNB,6952200,23255109,11/18/2017,11/23/2017,2017q4,6,Singapore,"Platform,Businessservices",1,2.3,0,0,0,4,0.37,,,0,0,0,14360000
dropil,0.202818288,-0.28670503,-0.0301483,dropil,DROP,5000000000,10000000000,2/7/2018,3/7/2018,2018q1,28,Belize,"BigData,Businessservices,Cryptocurrency,Platform,Software",1,3.4,1,0,0,8,0.5,1," USA, Singapore",0,1,1,60000000
