ICO,Token,Softcap,Hardcap,Start,End,Quarterstart,Duration of offering,Country,Category,ERC20,Rating,Number of experts,Bonus,Policy,Number of team members,Distributed in ICO,US restriction,Restricted countries,Accepted fiat,Major cryptocurrencies,Presale,Amount raised
russianminercoin,RMC,,100000000,8/28/2017,9/27/2019,2017q3,760,Russia,"Cryptocurrency,BigData",0,2.4,1,0,0,7,,,,1,1,1,43000000
remecoin,REME,,141270000,3/15/2018,6/14/2018,2018q1,91,Liechtenstein,"Internet,Businessservices",1,3.2,1,0,kyc,21,,1," China, USA",1,1,0,9558576
emiba,EMB,15000000,21000000,6/1/2018,12/31/2019,2018q2,578,Russia,Manufacturing,1,2.6,2,0,kyc,9,0.58,,,1,1,0,7012829
zeon-network,ZEON,2000000,15000000,6/8/2018,10/8/2018,2018q2,122,Estonia,"Platform,Investment,Cryptocurrency,Banking,SmartContract",1,3.8,1,0,0,7,0.6,1, USA,1,1,1,700000
worldopo,WPT,,,8/17/2018,3/2/2019,2018q3,197,Liechtenstein,"VirtualReality,SmartContract,Entertainment,ArtificialIntelligence",1,4.5,38,1,kyc&whitelist,12,0.75,0,North Korea,1,1,0,3392000
htfx,HTF,282000,383000,4/23/2018,7/4/2018,2018q2,72,Belize,,0,2,1,0,0,9,0.1359,1," USA, UK, Japan, Singapore, China",1,1,1,223869
must,MUST,6700000,14000000,11/1/2018,12/31/2019,2018q4,425,Estonia,"Platform,Legal,Infrastructure",0,3.8,0,1,kyc&whitelist,14,0.7,,,1,1,1,4760000
crowd-machine,CMCT,,100000000,5/1/2018,6/1/2019,2018q2,396,Cayman Islands,"Platform,Cryptocurrency,Communication,Businessservices,Software",1,3.8,27,0,kyc&whitelist,21,0.8,0," North Korea, Cuba, Syria, Sudan, Iran",0,1,0,23606000
dragonglass,DGS,,28326300,2/16/2018,3/16/2018,2018q1,28,Estonia,"Cryptocurrency,Entertainment,Software",1,3.4,10,0,0,4,1,1, USA,0,1,0,1000000
titanium-blockchain-infrastructure-services,BAR,,35000000,12/31/2017,2/28/2018,2017q4,59,USA,,0,3.8,9,1,0,14,0.6,0, Turkey,0,1,1,35000000
taucoin,TAU,,,10/18/2018,10/18/2019,2018q4,365,Cyprus,Cryptocurrency,0,2.1,0,0,0,4,,1," USA, China",0,0,0,10000000
bulleon,BUL,,114357673.8,1/1/2018,12/31/2018,2018q1,364,Estonia,"Investment,Cryptocurrency",1,4.3,15,1,kyc,12,0.952,0, None,0,1,0,75000
laocon,LC,10000000,100000000,10/1/2018,12/31/2018,2018q4,91,Singapore,"BigData,ArtificialIntelligence,Businessservices,Communication,Cryptocurrency,Electronics,Infrastructure,Internet,Other",1,2.2,0,0,kyc,5,0.4,,,0,1,0,500
kinesis,KVT,15,300,9/10/2018,3/17/2019,2018q3,188,Cayman Islands,"Cryptocurrency,Banking,Investment,Platform",1,4.4,6,0,kyc,27,0.7,,,1,1,0,59278000
larecoin-lare,LARE,2000000,50000000,6/4/2018,1/4/2019,2018q2,214,USA,Education,1,2.2,2,0,kyc,,0.48,,,1,1,0,9500012
eos,EOS,,,6/25/2017,6/4/2018,2017q2,344,USA,Cryptocurrency,1,4.1,9,0,0,4,0.9,0, None,0,1,0,4197956135
treeec-money,TRM,10000000,,7/12/2018,6/29/2019,2018q3,352,Germany,"Cryptocurrency,Businessservices,SmartContract",0,2.2,0,0,kyc,11,1,1," USA, China, Syria, South Korea, North Korea, Cuba, Iran, Krim",0,0,0,20950828
mold,MOLD,,2000000000,10/1/2017,9/1/2018,2017q4,335,Singapore,Entertainment,0,2.3,0,0,0,7,0.8,,,0,1,0,2825390
togacoin,TGA,500000,120000000,6/21/2018,5/1/2019,2018q2,314,UK,"Platform,Tourism,Cryptocurrency",1,2.9,0,1,0,11,0.91,,,0,1,1,305120
kimex,KMX,1102450,6614700,9/15/2018,9/30/2018,2018q3,15,Hong Kong,"Investment,Platform",1,3.1,1,1,kyc&whitelist,6,0.6,1," USA, China",0,1,0,27872
udap,UPX,,,6/1/2018,3/31/2019,2018q2,303,Singapore,Platform,1,3.3,0,0,kyc&whitelist,6,0.4,1," USA, China",0,1,1,2994000
mit-ra,MTA,,4000000,8/1/2018,9/30/2018,2018q3,60,United Arab Emirates,"ArtificialIntelligence,BigData,Cryptocurrency,Energy,Health,Software",1,2.5,1,1,0,8,0.8,,,0,1,0,3675000
pallium,PLMT,12622500,18933750,8/1/2018,5/1/2019,2018q3,273,Russia,"ArtificialIntelligence,Infrastructure,Software",1,2.6,0,0,whitelist,8,0.88,1, USA,0,0,0,49000
cultural-places,CC,2455800,23330100,3/5/2018,12/31/2018,2018q1,301,Austria,"Art,Cryptocurrency,Software,Tourism",1,3.6,10,1,whitelist,37,0.6,1, USA,0,1,1,7074037
lifetask,TASK,4000000,35000000,1/15/2019,11/1/2019,2019q1,290,Malta,"Communication,Platform",1,3.4,0,1,kyc,25,0.6,1, USA,1,1,0,3953123
guarium,GUAR,961320,36049500,7/16/2018,4/30/2019,2018q3,288,UK,"Businessservices,Cryptocurrency,Investment,Platform,Retail",1,3.6,1,1,whitelist,12,0.4,,,1,1,1,5650922
mcv-cap,MCV,3000000,106600000,6/21/2018,3/30/2019,2018q2,282,Austria,"Cryptocurrency,Banking,SmartContract",1,2.8,0,1,kyc,12,0.35,1," USA, China, Hong Kong",1,1,1,10667263
roc2,ROC2,,55000000,3/1/2019,12/1/2019,2019q1,275,Estonia,Cryptocurrency,1,2.6,2,0,0,16,,,,0,1,0,1800000
cargocoin-just-priority-listing,CargoCoin,5000000,55000000,4/1/2018,12/31/2018,2018q2,274,UK,"Investment,Infrastructure,Energy,Cryptocurrency,Businessservices,BigData,ArtificialIntelligence,Manufacturing,Other,Platform,Retail,SmartContract",1,4,9,1,kyc,15,0.65,1, USA,1,1,0,5000000
medoctor,MTEL,3000000,50000000,11/1/2018,7/31/2019,2018q4,272,Switzerland,Health,1,3.5,1,1,0,2,0.581,1, USA,0,1,1,18000000
ponder,PON,1500000,12000000,7/1/2018,3/28/2019,2018q3,270,USA,"Businessservices,Communication,Platform,Software",1,3.9,12,1,kyc,17,0.6,0, KYC based,0,1,0,3500000
concertvr,CVT Token,2500000,17546100,4/15/2018,12/31/2018,2018q2,260,Germany,Entertainment,1,4.1,4,0,kyc&whitelist,5,0.55,1," Ethiopia, Iraq, Serbia, Sri Lanka, Syria, Trinidad and Tobago, Tunisia, Vanuatu, Yemen, China, USA",0,1,1,2621145
creditcoin,CCOIN,258140,20000000,1/14/2019,9/30/2019,2019q1,259,USA,"Cryptocurrency,Platform,Retail",1,4.3,2,1,kyc,10,0.7,,,0,1,0,2000000
gig9,9Coin,1740120,21461480,6/1/2018,2/15/2019,2018q2,259,UK,"Businessservices,Platform,BigData,Retail,SmartContract",0,3,4,0,kyc&whitelist,16,,0, None,0,0,0,340000
coal-industry-coin,CIC,,,12/31/2018,9/8/2019,2018q4,251,UK,"Banking,Businessservices,Communication,Cryptocurrency,Investment,Platform",1,3.7,0,1,0,,0.8,0, None,0,1,0,37213381
nodvix,NDVX,63355,253420,11/22/2018,7/30/2019,2018q4,250,Russia,"Media,Cryptocurrency,Platform",1,3.4,3,1,whitelist,7,0.75,,,0,1,1,150040
riptide-coin,RIPT,,66056683,10/1/2017,6/4/2018,2017q4,246,USA,Cryptocurrency,1,2.4,0,0,0,6,,,,0,0,0,5980
synthestech2,STT2,,,3/1/2019,11/1/2019,2019q1,245,Russia,"Energy,Manufacturing",1,2.4,1,1,0,4,0.825,,,1,1,0,1004000
phoneum,PHM,1000000,20000000,7/30/2018,3/31/2019,2018q3,244,British Virgin Islands,"Entertainment,Cryptocurrency,Platform",1,2.8,19,1,kyc,13,0.12,1," USA, China, Canada, Taiwan",0,1,1,2400000
coupon-chain,CCT,4000000,24000000,8/1/2018,3/31/2019,2018q3,242,Hong Kong,"Businessservices,Media,Platform,Retail,Software",1,4,0,1,kyc,9,0.3,1," USA, China",0,1,0,2000000
photochain,PHT,165723285,180000000,1/8/2018,9/7/2018,2018q1,242,Estonia,"Art,Media,Platform",1,4.3,28,1,kyc&whitelist,13,0.79,1, USA,0,1,0,5000000
pvpchain,PVP,,,1/1/2019,8/31/2019,2019q1,242,Singapore,"Platform,Other,Businessservices,BigData,Sports",0,3.6,1,0,kyc,9,0.3,,,1,1,1,26674000
bit-team-market-place,BTT,,62000000,6/1/2018,1/29/2019,2018q2,242,Russia,"Platform,Cryptocurrency",1,2.7,0,1,0,6,0.75,,,0,1,1,17335000
socialgood,SG,,500000000,4/3/2019,11/30/2019,2019q2,241,Japan,"Platform,Cryptocurrency,ArtificialIntelligence",1,4.1,14,0,kyc,9,0.78,0, China,1,1,1,30000000
lipchain,LIPS,3000000,20000000,3/21/2018,11/15/2018,2018q1,239,Portugal,Sports,1,3.7,2,0,0,12,0.21,0, None,0,1,0,6579738
metatip,META,,,12/5/2017,8/1/2018,2017q4,239,USA,"BigData,Businessservices,Cryptocurrency,Investment",0,2,1,0,0,,,,,0,0,0,10492100
pixelbit,PXB,,,6/11/2019,1/31/2020,2019q2,234,,"Casino&Gambling,Platform",1,2.6,1,0,0,5,0.3,,,0,1,1,678609
alive-casino,AL Token,1000000,6000000,8/7/2018,3/27/2019,2018q3,232,Costa Rica,"Entertainment,Casino&Gambling",1,3.4,2,0,kyc&whitelist,8,0.7,1," China, USA",0,1,0,162000
idealcoin,IDL,3000000,40932971,8/1/2018,3/18/2019,2018q3,229,Mexico,Platform,1,3.5,0,1,kyc,9,0.5891,,,0,1,0,1900000
echarge-work,ECHG,,123460000,4/15/2018,11/30/2018,2018q2,229,Switzerland,"Energy,Electronics,Realestate,Infrastructure",1,3.3,9,1,kyc,12,0.5,1," USA, China, Singapore",1,1,0,40000000
bitcanna,BCNA,3000000,20000000,11/15/2018,6/30/2019,2018q4,227,Netherlands,Cryptocurrency,0,4.1,5,1,kyc&whitelist,19,0.6,1," Canada, DPRK, Ethiopia, Iran, Iraq, Serbia, Sri Lanka, Syria, Trinidad and Tobago, Tunisia, United States of America, Vanuatu, Yemen",1,1,0,16000000
the-sun-exchange,SUNEX,5400000,160000000,5/21/2018,12/31/2018,2018q2,224,South Africa,Energy,0,4,1,1,kyc,9,0.5,1, USA,1,1,0,1068205
sweetbridge,SWC,,65100695,5/21/2018,12/31/2018,2018q2,224,Gibraltar,"Banking,Businessservices,Cryptocurrency,Infrastructure,Legal,Manufacturing,Platform,Retail,SmartContract,Software",1,2.6,3,0,kyc&whitelist,12,0.65,1, USA,1,1,0,17200000
mediconnect,MEDI,,10000000,2/20/2019,9/30/2019,2019q1,222,UK,Health,0,2.6,1,0,whitelist,4,0.67,,,0,1,0,846984
akm-global,AKM,2019782,50000000,9/30/2017,5/10/2018,2017q3,222,Germany,"Retail,Other",0,2.5,1,1,0,6,,,,0,1,0,517200
mediex,MDX,1500000,6000000,1/16/2018,8/26/2018,2018q1,222,UK,Health,1,2.2,0,0,0,6,0.74,,,0,1,0,6310741
smart-trip-platform,TASH,1000000,25000000,6/25/2018,2/1/2019,2018q2,221,USA,"Platform,Tourism",1,4.2,4,1,kyc,10,0.6,,,0,1,0,2853413
hackspace,HAC,,,9/19/2017,4/28/2018,2017q3,221,Cyprus,"Investment,Manufacturing",1,2.3,0,1,whitelist,7,,,,0,0,0,49775643
voxxo,VOXXO,300000,1250000,11/1/2017,6/6/2018,2017q4,217,Turkey,"Cryptocurrency,Media,Entertainment",1,2.8,1,0,0,5,,,,0,1,0,282000
gamblica,GMBC,3488800,34888000,3/1/2018,10/1/2018,2018q1,214,Malta,"SmartContract,Platform,Entertainment,Cryptocurrency,Casino&Gambling,Software",1,4.1,19,1,kyc,11,0.6,0, China,0,1,0,1371565
brikcoin,BRIKCOIN (BRIK),,6315000,6/1/2019,12/31/2019,2019q2,213,UK,"Investment,Realestate",1,4.3,5,0,kyc&whitelist,9,0.5,1," USA, China",0,1,1,5025224
aizeus,AZS,1500000,10000000,3/1/2019,9/30/2019,2019q1,213,Hong Kong,"Cryptocurrency,Platform",0,3,0,0,0,7,0.5,1," USA, China",0,1,0,2900000
adult-x-token,ADUX,1000000,10000000,10/31/2018,5/31/2019,2018q4,212,Austria,"Art,Banking,Businessservices,Communication,Cryptocurrency,Entertainment,Infrastructure,Internet,Media,Platform",1,3.9,1,1,0,6,0.6,0, None,0,1,1,1539000
coingrid,CGT,2466000,25000000,11/23/2018,6/23/2019,2018q4,212,New Zealand,"Cryptocurrency,Infrastructure,Investment,Platform,SmartContract,Software",1,3.7,0,0,kyc&whitelist,7,0.7,0, China,0,1,0,858477
