Name,Start Date,End Date,Soft Cap,Hard Cap,Funds Raised,Amount of Tokens at ICO,Consensus Mechanisms,Purpose,Type,Platform,On Exchanges?,Market Price,Market Volume,Market Cap,Circulating Supply,Bullish vs. Bearish Sentiment,Popularity
GameX (GAMEX),1/9/2018,1/27/2018,,,Under Goal,,,"Video Game Marketplace, gaming project funding, coin mining hub",Marketplace,Waves,No,,,,"160,000 GAMEX",,
ModulTrade (MTRC),11/28/2017,1/27/2018,,,,40000000,,Trading system on the blockchain,Marketplace,Ethereum,,,,,"7,500,000 MTRc",,
CoinPoker (CHP),1/19/2018,1/26/2018,,,"$52,712,179.00 ",275000000,,Poker games,Gaming,Ethereum,,,,,,,
CoinStarter (STC),12/6/2017,2/17/2018,"$4,000,000.00 ","$58,000,000.00 ","$6,107,911.71 ",695800000,,Fundraising/crowdfunding platform,,Ethereum,Yes,$0.16 ,,,,,
eWaiter (WTR),12/26/2017,1/26/2018,"$200,000.00 ","$400,000.00 ",,90000000,,,,Ethereum,No,,,,,,
Jibrel Network (JNT),11/27/2017,1/26/2018,,,,140000000,,"The jibrel network allows anyone to digitize, list, trade and sell traditional assets, such as currencies, bonds and other instruments, on-chain.",,Ethereum,No,,,,,,
Propify Pre-Contribution (REALE),12/14/2017,1/26/2018,"$1,000,000.00 ","$80,000,000.00 ",,,,"Propify is an ecosystem of distributed technology tasked with the accurate promotion of real estate listings via social media & search engines, accessing consumers in their natural online search habits.","Social Network, Real Estate",Ethereum,No,,,,,,
Ret (HCT),12/16/2017,1/25/2018,"$720,000.00 ",,,,,"Decentralized rental platform, purchase, sale of real estate, designed to solve the issue of ownership of housing 1 200 000 000 people. ""RET"" brings together investors, property owners and tenants, providing services for concluding transactions for investing, selling and renting commercial and residential real estate","Social Network, Real Estate",Ethereum,No,,,,,,
SocialX (SOCX),1/15/2018,1/24/2018,"$200,000.00 ","$2,000,000.00 ","1,000 ETH",,,"Users can share photos and videos, send encrypted messages, payments, stream live streams and sell licenses for their creative content and earn cryptocurrency awards",Social Network,Ethereum,No,,,,,,
AppCoins (APPC),12/13/2017,1/21/2018,"$2,500,000.00 ","$15,300,000.00 ","$15,300,000.00 ",450000000,,An app store basically,Marketplace,Ethereum,Yes,$0.71 ,"$7,049,320 ","$70,544,693 ","100,054,312 APPC",,
FintruX Network (FTX),11/7/2017,2/28/2018,5000 ETH,"$25,000,000.00 ",,,,"FintruX Network is a blockchain based online ecosystem connecting borrowers, lenders, and rated service agencies. FintruX facilitates marketplace lending in a true peer-to-peer network to ease the cash-flow issues of small businesses and startups.",Loan Service,Ethereum,No,,,,,,
iBuildApp Network (IBA),11/7/2017,2/15/2018,,"$2,000,000.00 ",,15000000,,"The iBuildApp Network is building a decentralized mobile marketplace that will include a mobile advertising network, called adNetwork, which will make use of the Ethereum blockchain to alleviate the issues of ad fraud by linking up users directly with advertisers and recording all interactions in an immutable and transparent manner.",Marketplace,Ethereum,,,,,,,
Düber (DBR),10/24/2017,1/19/2018,,,,,,,,,,,,,,,
Getoken (GET),12/20/2017,1/19/2018,,, ,,,,,,,,,,,,
Handmade (TLT),12/21/2017,1/19/2018,,,,,,,,,,,,,,,
FundCru (FUND),12/5/2017,1/18/2018,,,,,,,,,,,,,,,
GraphGrailAi (GAI),12/17/2017,1/17/2018,,,,,,,,,,,,,,,
TokenPay (TPAY),12/7/2017,1/17/2018,,,,,,,,,,,,,,,
Zabercoin (ZAB),12/1/2017,1/16/2018,,,,,,,,,,,,,,,
BCDiploma (BCDT),12/1/2017,1/15/2018,,,,,,,,,,,,,,,
Capillar (CAP),12/15/2017,1/15/2018,,,,,,,,,,,,,,,
Covesting (COV),11/24/2017,1/15/2018,,,,,,,,,,,,,,,
CrowdPainting (INK),11/15/2017,1/15/2018,,,,,,,,,,,,,,,
Earth Token (ETN),11/17/2017,1/15/2018,,,,,,,,,,,,,,,
Eggs Datacenter (EGS),10/14/2017,1/15/2018,,,,,,,,,,,,,,,
Enjoy Life (ENJL),12/1/2017,1/15/2018,,,,,,,,,,,,,,,
Mobius (MOBI),11/8/2017,1/15/2018,,,,,,,,,,,,,,,
PodOne (QBE),11/8/2017,1/15/2018,,,,,,,,,,,,,,,
Wireline (WRL),10/15/2017,1/15/2018,,,,,,,,,,,,,,,
YourBlock (presale) (YBK),12/18/2017,1/15/2018,,,,,,,,,,,,,,,
BitMart (BMC),12/27/2017,1/14/2018,,,,,,,,,,,,,,,
Crypterium (CRPT),10/30/2017,1/14/2018,,,,,,,,,,,,,,,
FinTab (FNT),12/14/2017,1/14/2018,,,,,,,,,,,,,,,
Flying Money (FML),11/23/2017,1/14/2018,,,,,,,,,,,,,,,
PlayBets (PLT),12/22/2017,1/14/2018,,,,,,,,,,,,,,,
Lendoit (LOAN),12/13/2017,1/13/2018,,,,,,,,,,,,,,,
Taklimakan Network (TKLN),12/12/2017,1/12/2018,,,,,,,,,,,,,,,
The Bee Token (BEE),12/18/2017,1/12/2018,,,,,,,,,,,,,,,
Valorem Foundation (VLR),12/1/2017,1/11/2018,,,,,,,,,,,,,,,
Bezop Network (BEZ),12/20/2017,1/10/2018,,,,,,,,,,,,,,,
charitySPACE (CHT),12/20/2017,1/10/2018,,,,,,,,,,,,,,,
Coinseed (CSD),12/20/2017,1/10/2018,,,,,,,,,,,,,,,
CrowdDrive (CAR),12/10/2017,1/10/2018,,,,,,,,,,,,,,,
