Name,Symbol,Price,45d,90d,200d,MktCap,24hVol,Circ_Supply,Total_Supply,Brand_Buzz,Social,Avg_volume,Age_mo,Winning_months
0x,ZRX,0.3399,-3.2,-55.79,-71.28,199.98,43.39,588.414,1000000000,100,88,9011342,18,18
Electroneum,ETN,0.0057,-28.5,-66.6,-51.55,54.15,1.27,9.455,9454625553,100,87,269955,15,15
Apollo Currency,APL,0.0015,89.77,11.61,11.61,22.5,1.16,14.685,21165096531,,82,911827,6,6
Zcash,ZEC,76.53,16.46,-40.57,-58.48,501,1.02,6.546,6546206,100,77,179198463,27,27
Nano,NANO,1.85,70.97,-1.62,-22.35,246.63,27.32,133.248,133248289,0,92,2506858,23,23
Dash,DASH,151.59,65.44,-10.75,-40.02,1.34,579.09,8.81,8810252,75,79,151097305,60,60
PIVX,PIVX,0.6688,-6.32,-50.03,-64.79,37.98,2.88,56.781,56781166,,75,619410,36,36
Qtum,QTUM,3.16,17.1,-21.32,-59.25,302.86,389.89,95.725,101474528,75,76,171498103,20,20
Augur,REP,23.51,163.42,60.75,-21.49,258.63,17.09,11,11000000,50,88,10520821,39,39
Bancor,BNT,0.7635,19.4,-44.4,-66.11,46.53,4.75,60.948,71673161,75,86,1449247,20,20
IOTA,MIOTA,0.4195,13.56,-15.07,-57.26,1.17,55.74,2.78,2779530283,100,77,8583398,20,20
QuarkChain,QKC,0.0234,-47.2,-51.95,-68.49,26.62,16.75,1.136,10000000000,100,84,16995214,8,8
Golem,GNT,0.0957,30.4,-43.82,-68.83,92.22,12.41,963.622,1000000000,25,88,1123670,27,27
NEM,XEM,0.0967,29.91,2.83,-42.67,869.87,107.25,9,8999999999,75,77,13781315,46,46
Lisk,LSK,2.21,44.49,-22.56,-56.09,258.94,10.42,116.973,132088171,,73,2931173,34,34
Monero,XMR,88.06,62.32,-20.15,-33.14,1.5,79.86,16.985,16984575,,77,29651141,57,57
